visibility,windBearing,temperature,dewPoint,pressure,apparentTemperature,windSpeed,precipType,humidity,summary
5.97,104,10.24,8.86,1016.76,10.24,2.77,1,0.91,Partly Cloudy
4.88,99,9.76,8.83,1016.63,8.24,2.95,1,0.94,Partly Cloudy
3.7,98,9.46,8.79,1016.36,7.76,3.17,1,0.96,Partly Cloudy
3.12,99,9.23,8.63,1016.28,7.44,3.25,1,0.96,Foggy
1.85,111,9.26,9.21,1015.98,7.24,3.7,1,1,Foggy
1.96,115,9.33,8.87,1015.91,7.19,3.97,1,0.97,Foggy
1.3,118,9.31,8.82,1015.7,7.1,4.1,1,0.97,Foggy
1.22,114,8.85,8.69,1016.08,6.48,4.23,1,0.99,Foggy
1.4,120,9.13,8.75,1016.33,6.84,4.2,1,0.97,Foggy
1.38,121,9.23,8.7,1016.57,7.07,3.96,1,0.97,Foggy
1.35,115,9.21,8.76,1016.26,6.96,4.16,1,0.97,Foggy
1.72,127,9.78,9.23,1016.17,7.68,4.14,1,0.96,Foggy
1.83,129,9.91,9.34,1015.92,7.91,3.97,1,0.96,Foggy
2.53,120,10.22,9.73,1015.49,10.22,4.25,1,0.97,Foggy
3.67,122,10.63,9.73,1015.1,10.63,4.28,1,0.94,Mostly Cloudy
3.77,126,10.34,9.7,1015.32,10.34,4.3,1,0.96,Mostly Cloudy
3.99,121,10.31,9.66,1015.13,10.31,4.8,1,0.96,Mostly Cloudy
4.02,129,10.39,9.73,1015.41,10.39,4.13,1,0.96,Mostly Cloudy
4.17,130,10.79,9.79,1015.62,10.79,4.41,1,0.94,Mostly Cloudy
4.36,136,10.87,9.86,1015.91,10.87,4.69,1,0.94,Mostly Cloudy
5.1,140,11.28,9.99,1016.08,11.28,4.64,1,0.92,Mostly Cloudy
6.08,143,11.52,10.38,1016.48,11.52,4.25,1,0.93,Mostly Cloudy
5.25,144,11.93,10.5,1016.95,11.93,4,1,0.91,Mostly Cloudy
4.6,156,11.96,10.98,1017.5,11.96,3.48,1,0.94,Overcast
12.5,210,2.83,1.17,1015.67,1.11,1.78,1,0.89,Partly Cloudy
12.65,204,2.48,0.81,1014.96,0.31,2.11,1,0.89,Clear
13.02,214,2.7,1.29,1014.42,0.11,2.57,1,0.9,Clear
13.05,211,3.47,1.41,1013.78,0.66,3,1,0.86,Partly Cloudy
12.97,204,3.74,1.53,1012.94,1.29,2.64,1,0.85,Partly Cloudy
12.68,201,4.23,2.48,1012.42,1.82,2.7,1,0.88,Mostly Cloudy
12.54,199,5.16,3.01,1011.74,3.03,2.57,1,0.86,Mostly Cloudy
12.5,198,4.98,3.13,1011.26,2.39,3.12,1,0.88,Partly Cloudy
12.01,190,5.79,3.73,1010.85,3.13,3.48,1,0.87,Mostly Cloudy
12.57,194,6.43,4.85,1010.44,3.72,3.79,1,0.9,Partly Cloudy
12.54,195,7.05,5.44,1009.82,4.1,4.55,1,0.9,Partly Cloudy
12.73,197,7.97,6.02,1009.13,4.95,5.23,1,0.88,Mostly Cloudy
11.7,197,8.06,6.04,1007.99,4.78,6.02,1,0.87,Mostly Cloudy
13.16,194,8.56,5.92,1006.74,5.44,5.9,1,0.83,Mostly Cloudy
12.17,196,8.59,5.02,1005.74,5.36,6.27,1,0.78,Mostly Cloudy
12.04,189,8.49,4.76,1004.93,5.28,6.12,1,0.77,Mostly Cloudy
11.27,190,8.04,5.53,1004.05,4.82,5.82,1,0.84,Mostly Cloudy
10.99,186,7.92,6.07,1003.19,4.6,6.02,1,0.88,Mostly Cloudy
9.95,183,8.11,6.13,1002.05,4.93,5.74,1,0.87,Mostly Cloudy
8.96,185,8.46,6.68,1001.3,5.62,5.11,1,0.89,Mostly Cloudy
9.56,190,8.09,7.38,1000.71,5.72,3.88,1,0.95,Mostly Cloudy
12.04,214,7.23,6.56,1000.3,5.32,2.8,1,0.95,Partly Cloudy
13.24,234,7.1,6.42,1000.21,4.91,3.19,1,0.95,Partly Cloudy
13.18,257,7.09,6.31,1000.37,4.61,3.67,1,0.95,Partly Cloudy
14.13,240,10.21,5.41,1033.79,10.21,5.68,1,0.72,Mostly Cloudy
13.6,242,10.21,5.39,1033.52,10.21,5.06,1,0.72,Overcast
13.76,240,10.33,5.44,1033.17,10.33,4.85,1,0.72,Overcast
14.13,248,10.24,5.33,1033.62,10.24,5.3,1,0.72,Overcast
13.6,253,10.22,5.38,1033.88,10.22,4.88,1,0.72,Overcast
13.6,253,10.22,5.4,1033.87,10.22,4.68,1,0.72,Overcast
13.6,243,10.22,5.42,1033.97,10.22,4.51,1,0.72,Overcast
13.5,241,9.81,5.51,1034.17,8.04,3.44,1,0.75,Overcast
13.28,243,9.79,5.51,1034.37,8.27,3,1,0.75,Mostly Cloudy
13.07,237,10.15,5.48,1034.93,10.15,2.88,1,0.73,Mostly Cloudy
13.07,232,10.26,5.51,1035.08,10.26,2.8,1,0.72,Mostly Cloudy
13.07,237,10.23,5.53,1034.93,10.23,3.13,1,0.73,Mostly Cloudy
13.07,228,10.33,5.12,1034.25,10.33,2.99,1,0.7,Mostly Cloudy
13.07,234,10.33,5.46,1033.73,10.33,2.99,1,0.72,Mostly Cloudy
13.52,224,10.33,5.47,1033.13,10.33,2.76,1,0.72,Mostly Cloudy
13.07,210,10.26,5.49,1032.74,10.26,2.87,1,0.72,Mostly Cloudy
13.07,208,10.13,5.89,1032.26,10.13,3.17,1,0.75,Mostly Cloudy
13.52,204,10.06,5.22,1031.9,10.06,3.25,1,0.72,Mostly Cloudy
13.07,198,9.61,5.94,1031.53,7.7,3.64,1,0.78,Mostly Cloudy
13.07,193,9.49,5.54,1031.14,7.31,4.15,1,0.76,Mostly Cloudy
14,194,9.07,5.08,1030.46,6.81,4.1,1,0.76,Mostly Cloudy
13.5,189,8.54,5.37,1029.46,6.22,3.98,1,0.8,Mostly Cloudy
13.2,190,8.07,5.49,1028.61,5.59,4.09,1,0.84,Mostly Cloudy
12.83,188,8.03,5.87,1027.66,5.7,3.77,1,0.86,Mostly Cloudy
12.59,281,6.61,4.73,1006.65,5.31,1.92,1,0.88,Partly Cloudy
10.22,291,5.75,4.68,1007.38,4.48,1.77,1,0.93,Clear
10.11,276,5.05,4.11,1008.2,3.23,2.21,1,0.94,Clear
10.06,279,4.55,3.57,1008.95,3.04,1.82,1,0.93,Clear
10.96,270,3.99,2.92,1009.87,2.4,1.81,1,0.93,Clear
11.02,270,3.9,2.78,1011.03,1.89,2.19,1,0.92,Clear
9.38,251,2.71,2.08,1011.84,0.85,1.87,1,0.96,Clear
9.43,257,2.56,2.31,1012.51,0.46,2.06,1,0.98,Clear
10.85,248,2.82,2.21,1013.6,0.86,1.97,1,0.96,Clear
11.1,247,3.2,2.88,1014.49,1.21,2.06,1,0.98,Clear
12.47,243,4.58,3.59,1015.09,2.63,2.25,1,0.93,Partly Cloudy
12.81,247,6.82,3.73,1015.37,4.74,2.93,1,0.81,Partly Cloudy
12.84,241,7.36,3.84,1015.28,5.33,3.02,1,0.78,Mostly Cloudy
13.04,226,7.07,4.29,1015.17,4.93,3.08,1,0.82,Partly Cloudy
13.04,224,7.22,4.26,1014.58,4.88,3.46,1,0.81,Partly Cloudy
12.97,221,6.94,3.58,1014.38,4.46,3.62,1,0.79,Partly Cloudy
13.02,216,6.36,3.24,1014.15,3.85,3.45,1,0.8,Partly Cloudy
12.44,219,6.26,3.21,1013.9,3.53,3.78,1,0.81,Partly Cloudy
12.86,212,6.34,3.57,1013.4,3.48,4.05,1,0.82,Partly Cloudy
12.26,214,6.33,4.04,1012.83,3.26,4.45,1,0.85,Mostly Cloudy
12.33,216,7.33,4.11,1012.06,4.22,5.07,1,0.8,Mostly Cloudy
12.78,222,7.78,3.86,1011.25,4.41,6.05,1,0.76,Partly Cloudy
13.24,214,7.61,4.97,1010.21,4.04,6.5,1,0.83,Partly Cloudy
13.53,211,8.07,6.09,1008.62,4.63,6.46,1,0.87,Partly Cloudy
13.79,291,5.23,1.48,1022.65,0.97,6.56,1,0.77,Partly Cloudy
13.21,288,5.09,1.41,1023.64,0.88,6.33,1,0.77,Partly Cloudy
13.44,284,4.66,0.94,1025.02,0.37,6.24,1,0.77,Clear
13.87,289,4.59,0.51,1026.26,0.58,5.51,1,0.75,Clear
13.81,289,4.22,0.5,1027,0.56,4.6,1,0.77,Clear
13.15,285,3.73,0.48,1027.89,-0.14,4.78,1,0.79,Clear
12.79,272,3.64,0.5,1028.78,0.14,4.08,1,0.8,Clear
12.79,258,3.17,0.54,1029.6,-0.51,4.19,1,0.83,Partly Cloudy
13.16,249,3.52,0.9,1030.27,0.11,3.89,1,0.83,Mostly Cloudy
12.26,251,3.71,1.46,1030.95,0.31,3.95,1,0.85,Mostly Cloudy
12.39,253,4.54,2.12,1031.15,1.19,4.18,1,0.84,Partly Cloudy
12.26,254,6.06,2.67,1031.16,2.93,4.42,1,0.79,Overcast
12.26,244,6.7,3.54,1030.81,3.75,4.38,1,0.8,Mostly Cloudy
12.52,240,7.16,3.53,1030.03,4.16,4.74,1,0.78,Partly Cloudy
12.52,235,7.59,3.18,1029.49,4.65,4.83,1,0.74,Partly Cloudy
13.23,227,7.93,3.68,1028.82,5.02,4.97,1,0.74,Clear
12.89,230,7.51,3.73,1028.43,4.54,4.83,1,0.77,Partly Cloudy
13.34,231,7.11,4.29,1028.14,4.12,4.68,1,0.82,Partly Cloudy
13.44,226,7.09,4.32,1028.17,4.2,4.47,1,0.82,Clear
13.58,225,7.45,4.79,1027.79,4.38,5.05,1,0.83,Partly Cloudy
14,232,7.54,4.98,1027.86,4.37,5.36,1,0.84,Partly Cloudy
13.47,230,8.09,5.4,1027.68,5.11,5.23,1,0.83,Partly Cloudy
14.03,228,8.19,5.6,1027.38,5.14,5.49,1,0.84,Partly Cloudy
13.87,229,8.22,6.4,1027.12,5.32,5.11,1,0.88,Overcast
13.2,206,4.08,1.44,996.19,1.07,3.46,1,0.83,Clear
13.23,192,4.11,1.51,995.75,1.16,3.38,1,0.83,Clear
13.34,199,4.52,2.46,994.86,1.23,4.06,1,0.86,Clear
13.29,191,4.82,2.56,994.05,1.51,4.22,1,0.85,Clear
13.34,195,5.77,2.98,993.21,2.2,5.22,1,0.82,Clear
12.94,221,6.79,3.07,992.55,2.86,6.88,1,0.77,Partly Cloudy
13.6,241,6.52,2.74,992.53,2.05,8.34,1,0.77,Breezy and Partly Cloudy
12.76,253,6.43,2.94,993.64,1.63,9.43,1,0.78,Breezy and Partly Cloudy
12.87,257,6.25,1.96,995.07,1.52,8.94,1,0.74,Breezy and Partly Cloudy
13.07,254,5.96,1.51,996.76,1.36,8.23,1,0.73,Partly Cloudy
12.83,255,6.49,1.51,998.16,2.04,8.21,1,0.7,Partly Cloudy
13.07,255,7.39,2.17,999.15,3.52,7.22,1,0.69,Partly Cloudy
13.52,253,7.52,2.74,999.49,3.59,7.51,1,0.72,Partly Cloudy
13.52,253,7.92,3.17,999.94,4.09,7.59,1,0.72,Partly Cloudy
13.07,254,7.97,3.16,1000.5,4.25,7.26,1,0.72,Partly Cloudy
13.07,250,7.52,3.06,1000.77,3.84,6.72,1,0.73,Partly Cloudy
13.47,245,6.51,2.99,1001.04,2.91,5.74,1,0.78,Partly Cloudy
13.08,238,6.27,1.98,1000.92,3.11,4.6,1,0.74,Partly Cloudy
12.39,224,5.71,2.12,1000.51,3.05,3.46,1,0.78,Partly Cloudy
12.26,206,5.77,2.52,999.38,3.46,2.95,1,0.8,Mostly Cloudy
12.44,185,5.88,2.52,997.85,3.66,2.87,1,0.79,Partly Cloudy
11.7,159,6.25,1.91,995.93,4.38,2.51,1,0.74,Mostly Cloudy
10.88,132,5.92,1.64,993.31,3.45,3.24,1,0.74,Mostly Cloudy
9.9,102,4.72,3.16,990.34,1.36,4.29,1,0.9,Mostly Cloudy
11.2,132,8.04,6.96,1016.7,6.37,2.67,1,0.93,Clear
9.09,117,7.98,6.55,1016.55,6.46,2.46,1,0.91,Clear
6.9,115,8.34,7.66,1016.34,6.69,2.74,1,0.95,Partly Cloudy
5.62,109,8.41,7.8,1016.04,6.7,2.84,1,0.96,Mostly Cloudy
3.64,110,8.48,7.89,1015.91,6.91,2.66,1,0.96,Partly Cloudy
3.38,106,8.77,8.23,1015.83,7.22,2.71,1,0.96,Partly Cloudy
3.35,105,8.42,7.83,1015.82,6.73,2.83,1,0.96,Partly Cloudy
2.88,104,7.78,7.29,1015.94,6.13,2.58,1,0.97,Foggy
3.6,107,7.83,7.66,1016.08,5.98,2.88,1,0.99,Partly Cloudy
3.72,109,8.54,7.97,1016.49,6.79,2.95,1,0.96,Partly Cloudy
5.58,121,9.42,8.48,1016.68,7.94,2.8,1,0.94,Partly Cloudy
7.52,127,11,8.93,1016.76,11,3.11,1,0.87,Partly Cloudy
9.56,136,12.83,9.34,1016.58,12.83,3.01,1,0.79,Partly Cloudy
10.85,135,12.79,9.32,1016.28,12.79,2.77,1,0.79,Clear
11.84,128,13.19,9.29,1016.1,13.19,2.82,1,0.77,Clear
12.46,124,12.68,9.24,1016.2,12.68,2.62,1,0.8,Clear
11.81,115,11.34,8.98,1016.36,11.34,2.38,1,0.85,Clear
10.07,115,10.61,8.92,1016.78,10.61,2.11,1,0.89,Clear
8.37,121,9.54,8.78,1017.15,8.54,2.14,1,0.95,Clear
6.84,116,8.88,8.18,1017.91,8.42,1.46,1,0.95,Clear
4.31,113,8.32,7.77,1018.29,8.32,1.27,1,0.96,Clear
2.77,104,8.13,7.61,1018.47,7.21,1.79,1,0.97,Foggy
1.88,114,7.61,7.14,1018.86,7.61,1.17,1,0.97,Foggy
1.82,114,7.48,6.98,1019.02,7.48,1.1,1,0.97,Foggy
3.46,106,5.88,4.93,1018.41,3.82,2.65,1,0.94,Mostly Cloudy
3.33,109,5.41,4.57,1018.17,3.57,2.29,1,0.94,Mostly Cloudy
2.93,98,5.41,4.86,1017.84,3.15,2.79,1,0.96,Foggy
2.74,92,5.51,4.61,1017.53,2.97,3.2,1,0.94,Foggy
2.69,101,5.48,4.87,1017.46,2.93,3.23,1,0.96,Foggy
2.53,115,5.8,5.17,1017.78,4.18,2.12,1,0.96,Foggy
1.95,99,5.28,4.49,1017.7,5.28,1.16,1,0.95,Foggy
1.61,109,5.19,4.7,1017.74,3.63,1.97,1,0.97,Foggy
1.95,124,5.47,4.65,1018.13,5.47,1.09,1,0.94,Foggy
2.75,106,5.73,4.8,1018.32,4.33,1.89,1,0.94,Foggy
3.59,123,6.64,5.58,1018.27,5.07,2.23,1,0.93,Mostly Cloudy
4.59,129,7.03,5.47,1018.12,5.56,2.2,1,0.9,Mostly Cloudy
5.09,118,7.58,5.64,1017.79,6.19,2.2,1,0.88,Mostly Cloudy
6.02,113,8.07,6.09,1017.15,6.57,2.46,1,0.87,Mostly Cloudy
6.24,110,8.18,6.1,1016.83,6.64,2.55,1,0.87,Partly Cloudy
6.58,110,8.05,6.02,1016.61,6.28,2.83,1,0.87,Partly Cloudy
5.83,121,7.5,5.91,1016.55,5.73,2.67,1,0.9,Partly Cloudy
4.86,126,7.35,5.84,1016.48,5.51,2.73,1,0.9,Mostly Cloudy
4.07,130,6.91,5.97,1016.62,4.96,2.76,1,0.94,Mostly Cloudy
3.57,128,6.93,6.04,1016.68,4.68,3.24,1,0.94,Mostly Cloudy
3.56,138,7.12,6.22,1016.88,5.06,3,1,0.94,Mostly Cloudy
2.91,145,7.61,6.64,1016.9,5.72,2.89,1,0.94,Foggy
2.8,130,7.72,7.13,1016.92,6.39,2.16,1,0.96,Foggy
2.74,126,8.32,7.73,1016.79,7.14,2.1,1,0.96,Foggy
12.89,262,6.56,5.84,1000.52,3.79,3.98,1,0.95,Partly Cloudy
13.1,265,6.52,5.34,1001.16,3.22,5.04,1,0.92,Partly Cloudy
13.36,275,6.26,4.7,1001.6,2.97,4.87,1,0.9,Partly Cloudy
12.87,269,4.91,3.94,1002.33,1.22,5.01,1,0.93,Clear
13.15,262,4.27,2.99,1002.66,0.94,4.04,1,0.91,Clear
13.2,248,3.7,2.49,1003.25,0.43,3.73,1,0.92,Clear
12.94,238,3.18,1.92,1003.96,-0.07,3.52,1,0.91,Clear
